Date : 2025-04-21 14:23:36
Directory : d:\Project\STM\Car_F4\Car_F427\EIDE
Total : 1268 files,  670076 codes, 310411 comments, 114551 blanks, all 1095038 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\n25q256a                                                                                                                         |          1 |        109 |        100 |         53 |        262 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\n25q512a                                                                                                                         |          1 |        109 |        100 |         53 |        262 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\otm8009a                                                                                                                         |          2 |        276 |        286 |        118 |        680 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\ov2640                                                                                                                           |          2 |      1,298 |        221 |         60 |      1,579 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\s25fl512s                                                                                                                        |          1 |        108 |        102 |         52 |        262 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\s5k5cag                                                                                                                          |          2 |      3,164 |        319 |        117 |      3,600 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\st7735                                                                                                                           |          2 |        324 |        287 |         76 |        687 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\st7789h2                                                                                                                         |          2 |        400 |        388 |        127 |        915 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\stmpe1600                                                                                                                        |          2 |        280 |        394 |        145 |        819 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\stmpe811                                                                                                                         |          2 |        492 |        584 |        194 |      1,270 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\ts3510                                                                                                                           |          2 |         95 |        233 |         71 |        399 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\wm8994                                                                                                                           |          2 |        490 |        504 |        237 |      1,231 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\STM32412G-Discovery                                                                                                                         |         14 |      3,893 |      3,133 |      1,117 |      8,143 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\STM32446E_EVAL                                                                                                                              |         20 |      3,941 |      4,167 |      1,331 |      9,439 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\STM32469I-Discovery                                                                                                                         |         16 |      3,764 |      3,807 |      1,345 |      8,916 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\STM32469I_EVAL                                                                                                                              |         24 |      4,986 |      5,247 |      1,709 |     11,942 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\STM324x9I_EVAL                                                                                                                              |         22 |      3,651 |      3,973 |      1,160 |      8,784 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\STM324xG_EVAL                                                                                                                               |         18 |      2,635 |      3,028 |        855 |      6,518 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\STM32F4-Discovery                                                                                                                           |          6 |      1,086 |      1,312 |        399 |      2,797 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\STM32F401-Discovery                                                                                                                         |          8 |      1,202 |      1,524 |        457 |      3,183 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\STM32F411E-Discovery                                                                                                                        |          8 |      1,221 |      1,531 |        457 |      3,209 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\STM32F413H-Discovery                                                                                                                        |         14 |      3,864 |      2,954 |      1,112 |      7,930 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\STM32F429I-Discovery                                                                                                                        |         14 |      2,303 |      2,574 |        752 |      5,629 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\STM32F4xx-Nucleo                                                                                                                            |          2 |        503 |        486 |        178 |      1,167 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\STM32F4xx_Nucleo_144                                                                                                                        |          2 |        547 |        501 |        190 |      1,238 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\CMSIS                                                                                                                                           |         95 |    299,234 |     38,119 |     22,584 |    359,937 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\CMSIS\Device                                                                                                                                    |         95 |    299,234 |     38,119 |     22,584 |    359,937 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\CMSIS\Device\ST                                                                                                                                 |         95 |    299,234 |     38,119 |     22,584 |    359,937 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\CMSIS\Device\ST\STM32F4xx                                                                                                                       |         95 |    299,234 |     38,119 |     22,584 |    359,937 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\CMSIS\Device\ST\STM32F4xx\Include                                                                                                               |         25 |    281,928 |     21,430 |     19,271 |    322,629 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\CMSIS\Device\ST\STM32F4xx\Source                                                                                                                |         70 |     17,306 |     16,689 |      3,313 |     37,308 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\CMSIS\Device\ST\STM32F4xx\Source\Templates                                                                                                      |         70 |     17,306 |     16,689 |      3,313 |     37,308 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\CMSIS\Device\ST\STM32F4xx\Source\Templates (Files)                                                                                              |          1 |        340 |        335 |         87 |        762 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\CMSIS\Device\ST\STM32F4xx\Source\Templates\arm                                                                                                  |         23 |      9,302 |          0 |        824 |     10,126 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\CMSIS\Device\ST\STM32F4xx\Source\Templates\gcc                                                                                                  |         23 |      7,641 |      1,955 |      2,379 |     11,975 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\CMSIS\Device\ST\STM32F4xx\Source\Templates\iar                                                                                                  |         23 |         23 |     14,399 |         23 |     14,445 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\STM32F4xx_HAL_Driver                                                                                                                            |        190 |    100,986 |    106,360 |     29,096 |    236,442 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\STM32F4xx_HAL_Driver\Inc                                                                                                                        |         98 |     34,603 |     52,474 |     10,509 |     97,586 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\STM32F4xx_HAL_Driver\Inc (Files)                                                                                                                |         96 |     31,772 |     51,541 |     10,051 |     93,364 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\STM32F4xx_HAL_Driver\Inc\Legacy                                                                                                                 |          2 |      2,831 |        933 |        458 |      4,222 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\STM32F4xx_HAL_Driver\Src                                                                                                                        |         92 |     66,383 |     53,886 |     18,587 |    138,856 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\STM32F4xx_HAL_Driver\Src (Files)                                                                                                                |         91 |     65,440 |     53,331 |     18,403 |    137,174 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\STM32F4xx_HAL_Driver\Src\Legacy                                                                                                                 |          1 |        943 |        555 |        184 |      1,682 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK                                                                                                                                                     |        680 |    162,935 |    100,603 |     33,129 |    296,667 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards                                                                                                                                              |        659 |    161,015 |     99,682 |     32,770 |    293,467 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil                                                                                                                                         |        408 |     92,426 |     57,472 |     19,684 |    169,582 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400                                                                                                                            |        408 |     92,426 |     57,472 |     19,684 |    169,582 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Blinky                                                                                                                     |         14 |      3,878 |      1,743 |        641 |      6,262 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Blinky (Files)                                                                                                             |          7 |        755 |        216 |         94 |      1,065 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Blinky\RTE                                                                                                                 |          7 |      3,123 |      1,527 |        547 |      5,197 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Blinky\RTE\CMSIS                                                                                                           |          2 |        218 |        326 |        104 |        648 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Blinky\RTE\Compiler                                                                                                        |          1 |          3 |         24 |          8 |         35 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Blinky\RTE\Device                                                                                                          |          4 |      2,902 |      1,177 |        435 |      4,514 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Blinky\RTE\Device\STM32F407IGHx                                                                                            |          4 |      2,902 |      1,177 |        435 |      4,514 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Common                                                                                                                     |         13 |      1,976 |      1,457 |        412 |      3,845 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX                                                                                                                     |         40 |      4,151 |      3,938 |      1,442 |      9,531 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\Blinky                                                                                                              |         14 |      1,403 |      1,259 |        496 |      3,158 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\Blinky (Files)                                                                                                      |          1 |         45 |         41 |         13 |         99 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\Blinky\RTE                                                                                                          |         13 |      1,358 |      1,218 |        483 |      3,059 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\Blinky\RTE\CMSIS                                                                                                    |          2 |        218 |        326 |        104 |        648 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\Blinky\RTE\Compiler                                                                                                 |          1 |          3 |         24 |          8 |         35 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\Blinky\RTE\Device                                                                                                   |         10 |      1,137 |        868 |        371 |      2,376 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\Blinky\RTE\Device\STM32F407IGHx                                                                                     |         10 |      1,137 |        868 |        371 |      2,376 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\Blinky\RTE\Device\STM32F407IGHx (Files)                                                                             |          3 |        770 |        347 |        138 |      1,255 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\Blinky\RTE\Device\STM32F407IGHx\STCubeGenerated                                                                     |          7 |        367 |        521 |        233 |      1,121 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\Blinky\RTE\Device\STM32F407IGHx\STCubeGenerated\Inc                                                                 |          4 |        255 |        258 |        127 |        640 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\Blinky\RTE\Device\STM32F407IGHx\STCubeGenerated\Src                                                                 |          3 |        112 |        263 |        106 |        481 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\emWin                                                                                                               |         26 |      2,748 |      2,679 |        946 |      6,373 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\emWin\GUI_VNC                                                                                                       |         26 |      2,748 |      2,679 |        946 |      6,373 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\emWin\GUI_VNC (Files)                                                                                               |          3 |        106 |        159 |         43 |        308 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\emWin\GUI_VNC\RTE                                                                                                   |         23 |      2,642 |      2,520 |        903 |      6,065 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\emWin\GUI_VNC\RTE\CMSIS                                                                                             |          2 |        218 |        326 |        104 |        648 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\emWin\GUI_VNC\RTE\Compiler                                                                                          |          1 |          3 |         24 |          8 |         35 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\emWin\GUI_VNC\RTE\Device                                                                                            |         10 |      1,886 |      1,333 |        565 |      3,784 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\emWin\GUI_VNC\RTE\Device\STM32F407IGHx                                                                              |         10 |      1,886 |      1,333 |        565 |      3,784 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\emWin\GUI_VNC\RTE\Device\STM32F407IGHx (Files)                                                                      |          3 |        999 |        392 |        183 |      1,574 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\emWin\GUI_VNC\RTE\Device\STM32F407IGHx\STCubeGenerated                                                              |          7 |        887 |        941 |        382 |      2,210 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\emWin\GUI_VNC\RTE\Device\STM32F407IGHx\STCubeGenerated\Inc                                                          |          3 |        251 |        209 |        120 |        580 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\emWin\GUI_VNC\RTE\Device\STM32F407IGHx\STCubeGenerated\Src                                                          |          4 |        636 |        732 |        262 |      1,630 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\emWin\GUI_VNC\RTE\Graphics                                                                                          |          4 |        348 |        449 |         71 |        868 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\CubeMX\emWin\GUI_VNC\RTE\Network                                                                                           |          6 |        187 |        388 |        155 |        730 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Demo                                                                                                                       |         12 |      5,190 |      1,834 |        653 |      7,677 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Demo (Files)                                                                                                               |          5 |      2,067 |        307 |        106 |      2,480 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Demo\RTE                                                                                                                   |          7 |      3,123 |      1,527 |        547 |      5,197 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Demo\RTE\CMSIS                                                                                                             |          2 |        218 |        326 |        104 |        648 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Demo\RTE\Compiler                                                                                                          |          1 |          3 |         24 |          8 |         35 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Demo\RTE\Device                                                                                                            |          4 |      2,902 |      1,177 |        435 |      4,514 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Demo\RTE\Device\STM32F407IGHx                                                                                              |          4 |      2,902 |      1,177 |        435 |      4,514 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware                                                                                                                 |        305 |     70,202 |     44,425 |     15,244 |    129,871 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\CAN                                                                                                             |         24 |      7,056 |      3,540 |      1,329 |     11,925 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\CAN\CAN                                                                                                         |         13 |      3,456 |      1,765 |        655 |      5,876 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\CAN\CAN (Files)                                                                                                 |          6 |        333 |        238 |        108 |        679 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\CAN\CAN\RTE                                                                                                     |          7 |      3,123 |      1,527 |        547 |      5,197 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\CAN\CAN\RTE\CMSIS                                                                                               |          2 |        218 |        326 |        104 |        648 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\CAN\CAN\RTE\Compiler                                                                                            |          1 |          3 |         24 |          8 |         35 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\CAN\CAN\RTE\Device                                                                                              |          4 |      2,902 |      1,177 |        435 |      4,514 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\CAN\CAN\RTE\Device\STM32F407IGHx                                                                                |          4 |      2,902 |      1,177 |        435 |      4,514 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\CAN\CAN_RTR                                                                                                     |         11 |      3,600 |      1,775 |        674 |      6,049 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\CAN\CAN_RTR (Files)                                                                                             |          4 |        477 |        248 |        127 |        852 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\CAN\CAN_RTR\RTE                                                                                                 |          7 |      3,123 |      1,527 |        547 |      5,197 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\CAN\CAN_RTR\RTE\CMSIS                                                                                           |          2 |        218 |        326 |        104 |        648 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\CAN\CAN_RTR\RTE\Compiler                                                                                        |          1 |          3 |         24 |          8 |         35 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\CAN\CAN_RTR\RTE\Device                                                                                          |          4 |      2,902 |      1,177 |        435 |      4,514 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\CAN\CAN_RTR\RTE\Device\STM32F407IGHx                                                                            |          4 |      2,902 |      1,177 |        435 |      4,514 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\FileSystem                                                                                                      |         18 |      4,054 |      2,102 |        783 |      6,939 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\FileSystem\File_Demo                                                                                            |         18 |      4,054 |      2,102 |        783 |      6,939 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\FileSystem\File_Demo (Files)                                                                                    |          5 |        820 |        283 |        151 |      1,254 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\FileSystem\File_Demo\RTE                                                                                        |         13 |      3,234 |      1,819 |        632 |      5,685 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\FileSystem\File_Demo\RTE\CMSIS                                                                                  |          2 |        218 |        326 |        104 |        648 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\FileSystem\File_Demo\RTE\CMSIS_Driver                                                                           |          1 |         29 |         91 |          9 |        129 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\FileSystem\File_Demo\RTE\Compiler                                                                               |          1 |          3 |         24 |          8 |         35 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\FileSystem\File_Demo\RTE\Device                                                                                 |          4 |      2,902 |      1,177 |        435 |      4,514 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\FileSystem\File_Demo\RTE\Device\STM32F407IGHx                                                                   |          4 |      2,902 |      1,177 |        435 |      4,514 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\FileSystem\File_Demo\RTE\File_System                                                                            |          5 |         82 |        201 |         76 |        359 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\MDK\Boards\Keil\MCBSTM32F400\Middleware\Network                                                                                                         |        143 |     32,087 |     17,452 |      6,495 |     56,034 |
